title:TN02_L1_KTDH_F, start timestamp:1594352443.682681, stop timestamp:1594352504.757217, headset type:EPOCPLUS, headset serial:3B9AE84A, headset firmware:625, subject name:Minh&Ha, channels:49, sampling rate:eeg_128;mot_64, samples:7750      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,MOT.CounterMems,MOT.InterpolatedMems,MOT.GyroX,MOT.GyroY,MOT.GyroZ,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1594352443.682681,48.000000,0.000000,4266.410156,4153.717773,4110.641113,4153.846191,4138.846191,4130.384766,4143.461426,4130.384766,4128.205078,4135.512695,4157.307617,4073.461426,4175.769043,4128.717773,0.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,24.000000,0.000000,8237.000000,8136.000000,8120.000000,4148.000000,8111.000000,8124.000000,8153.000000,8111.000000,7885.000000
1594352443.690668,49.000000,0.000000,4298.077148,4186.410156,4106.410156,4187.948730,4186.282227,4182.692383,4188.589844,4166.922852,4150.128418,4173.846191,4176.538574,4101.794922,4195.000000,4169.615234,0.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594352443.698555,50.000000,0.000000,4291.282227,4184.358887,4111.025879,4178.846191,4177.692383,4183.333496,4184.743652,4177.179688,4162.051270,4172.179688,4176.922852,4097.307617,4186.153809,4149.871582,0.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,25.000000,0.000000,8254.000000,8134.000000,8117.000000,4153.000000,8116.000000,8131.000000,8156.000000,8114.000000,7880.000000
1594352443.706542,51.000000,0.000000,4277.179688,4147.692383,4106.282227,4142.820313,4135.641113,4114.358887,4122.948730,4110.512695,4115.128418,4097.563965,4138.461426,4048.974365,4144.487305,4094.102539,0.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594352443.714429,52.000000,0.000000,4379.871582,4257.692383,4123.589844,4231.410156,4215.128418,4210.000000,4217.563965,4210.000000,4181.666504,4198.974121,4182.820313,4111.922852,4186.794922,4201.666504,0.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,26.000000,0.000000,8259.000000,8132.000000,8109.000000,4169.000000,8074.000000,8184.000000,8155.000000,8109.000000,7882.000000
1594352443.722416,53.000000,0.000000,4326.282227,4192.820313,4123.333496,4167.563965,4156.794922,4143.846191,4144.615234,4140.641113,4135.256348,4107.179688,4138.717773,4080.256348,4127.692383,4118.846191,0.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594352443.730303,54.000000,0.000000,4388.077148,4238.461426,4119.743652,4204.230957,4182.051270,4170.384766,4176.025879,4153.846191,4138.461426,4108.205078,4138.974121,4074.871826,4124.743652,4118.974121,0.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,27.000000,0.000000,8271.000000,8133.000000,8110.000000,4192.000000,8038.000000,8207.000000,8154.000000,8105.000000,7884.000000
1594352443.738290,55.000000,0.000000,4424.230957,4278.461426,4132.051270,4234.487305,4203.333496,4193.077148,4199.615234,4189.358887,4171.538574,4150.256348,4152.692383,4081.281982,4127.179688,4145.128418,0.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594352443.746177,56.000000,0.000000,4370.384766,4223.333496,4124.102539,4175.128418,4160.641113,4124.615234,4122.692383,4117.051270,4117.692383,4068.205078,4110.384766,4037.564209,4074.102539,4085.000000,0.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,28.000000,0.000000,8315.000000,8121.000000,8122.000000,4193.000000,8056.000000,8170.000000,8154.000000,8114.000000,7886.000000
1594352443.754163,57.000000,0.000000,4469.102539,4327.563965,4133.846191,4248.717773,4213.333496,4201.666504,4196.922852,4188.846191,4162.948730,4146.282227,4148.974121,4086.025635,4111.538574,4170.128418,0.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
