title:TN02_L1_LTN_M, start timestamp:1594275724.583378, stop timestamp:1594275792.812323, headset type:EPOCPLUS, headset serial:3B9AE84A, headset firmware:625, subject name:minhpro123, channels:49, sampling rate:eeg_128;mot_64, samples:8659      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,MOT.CounterMems,MOT.InterpolatedMems,MOT.GyroX,MOT.GyroY,MOT.GyroZ,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1594275724.583378,56.000000,0.000000,3986.794922,4157.436035,4131.794922,4141.666504,4156.922852,4154.230957,4170.897461,4170.384766,4152.820313,4153.461426,4167.436035,4193.589844,4079.743652,4123.333496,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,28.000000,0.000000,8240.000000,8064.000000,8074.000000,4212.000000,8644.000000,8323.000000,8130.000000,8241.000000,7865.000000
1594275724.591157,57.000000,0.000000,3977.820557,4153.589844,4134.487305,4144.871582,4151.794922,4146.794922,4168.846191,4170.512695,4155.769043,4166.794922,4159.102539,4195.384766,4077.820557,4120.769043,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,
1594275724.599035,58.000000,0.000000,3988.589844,4153.974121,4148.333496,4154.743652,4151.025879,4144.487305,4168.205078,4176.666504,4163.589844,4166.025879,4171.922852,4208.461426,4072.307617,4134.358887,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,29.000000,0.000000,8269.000000,8091.000000,8066.000000,4267.000000,8642.000000,8252.000000,8127.000000,8240.000000,7866.000000
1594275724.606813,59.000000,0.000000,4005.641113,4156.025879,4142.436035,4174.615234,4153.461426,4148.846191,4169.358887,4181.410156,4165.128418,4151.025879,4186.922852,4212.948730,4068.333252,4142.692383,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,
1594275724.614793,60.000000,0.000000,4001.666748,4147.692383,4146.666504,4176.410156,4151.666504,4149.487305,4170.512695,4174.871582,4157.692383,4156.025879,4176.666504,4207.692383,4072.179443,4138.589844,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,30.000000,0.000000,8273.000000,8096.000000,8064.000000,4318.000000,8655.000000,8223.000000,8133.000000,8240.000000,7867.000000
1594275724.622672,61.000000,0.000000,4001.025635,4154.487305,4140.256348,4154.487305,4162.307617,4150.512695,4173.846191,4172.563965,4161.666504,4188.717773,4165.769043,4202.179688,4084.358887,4140.641113,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,
1594275724.630651,62.000000,0.000000,3997.948730,4157.820313,4135.897461,4141.153809,4161.666504,4142.948730,4158.589844,4158.974121,4154.102539,4182.307617,4162.948730,4195.897461,4077.051270,4135.769043,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,31.000000,0.000000,8261.000000,8110.000000,8086.000000,4362.000000,8654.000000,8158.000000,8131.000000,8237.000000,7868.000000
1594275724.638531,63.000000,0.000000,3998.461426,4155.641113,4143.974121,4157.948730,4154.358887,4142.051270,4152.692383,4150.769043,4143.333496,4159.743652,4162.692383,4201.410156,4067.692383,4130.769043,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,
1594275724.646510,64.000000,0.000000,4004.615479,4146.922852,4140.256348,4166.922852,4151.922852,4141.794922,4158.846191,4155.641113,4145.128418,4150.000000,4166.922852,4203.717773,4068.846191,4134.487305,2486.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,32.000000,0.000000,8252.000000,8127.000000,8103.000000,4381.000000,8667.000000,8123.000000,8130.000000,8237.000000,7866.000000
1594275724.654389,65.000000,0.000000,4007.435791,4141.794922,4155.256348,4163.205078,4146.153809,4139.358887,4159.615234,4156.794922,4144.487305,4131.666504,4169.871582,4205.897461,4065.769287,4140.256348,3301.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,
