title:TN02_L1_LTTL_F, start timestamp:1594355191.434297, stop timestamp:1594355253.336003, headset type:EPOCPLUS, headset serial:3B9AE84A, headset firmware:625, subject name:Minh&Ha, channels:49, sampling rate:eeg_128;mot_64, samples:7855      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,MOT.CounterMems,MOT.InterpolatedMems,MOT.GyroX,MOT.GyroY,MOT.GyroZ,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1594355191.434297,50.000000,0.000000,3695.641113,3719.871826,3846.666748,3703.974365,3763.974365,3666.794922,3637.179443,3661.794922,3778.718018,3675.641113,3775.512939,4001.153809,3763.846191,3689.358887,0.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,25.000000,0.000000,8145.000000,8121.000000,8159.000000,4244.000000,8148.000000,7140.000000,8217.000000,8106.000000,7904.000000
1594355191.442078,51.000000,0.000000,3832.948730,3871.410156,3893.974365,3872.179443,3880.897461,3802.435791,3768.333252,3794.615479,3855.384521,3809.102539,3868.974365,4121.410156,3864.102539,3847.307617,0.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594355191.449959,52.000000,0.000000,3793.461426,3835.000000,3880.769287,3808.076904,3823.205078,3776.923096,3749.102539,3764.871826,3828.846191,3796.923096,3839.743652,4093.718018,3829.358887,3814.871826,0.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,26.000000,0.000000,8143.000000,8121.000000,8159.000000,4252.000000,8149.000000,7154.000000,8219.000000,8108.000000,7907.000000
1594355191.457740,53.000000,0.000000,3901.281982,3943.461426,3918.205078,3883.076904,3881.538574,3889.358887,3876.410156,3849.102539,3855.512939,3892.435791,3880.128174,4134.230957,3863.205078,3894.102539,0.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594355191.465620,54.000000,0.000000,4191.922852,4235.512695,3993.846191,4131.666504,4063.461426,4156.025879,4154.615234,4133.589844,3984.487061,4193.333496,4022.692383,4297.436035,4008.846191,4175.384766,0.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,27.000000,0.000000,8148.000000,8120.000000,8160.000000,4247.000000,8135.000000,7157.000000,8221.000000,8105.000000,7905.000000
1594355191.473401,55.000000,0.000000,4130.897461,4168.846191,3990.128174,4085.769287,4034.358887,4080.769287,4066.923096,4071.153809,3967.179443,4129.102539,4003.205078,4272.051270,3992.179443,4129.358887,0.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594355191.481282,56.000000,0.000000,4230.128418,4264.871582,4018.205078,4181.025879,4106.025879,4183.717773,4164.102539,4165.384766,4015.128174,4204.743652,4063.333252,4340.384766,4045.256348,4226.410156,0.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,28.000000,0.000000,8145.000000,8121.000000,8164.000000,4263.000000,8142.000000,7150.000000,8219.000000,8109.000000,7906.000000
1594355191.489063,57.000000,0.000000,4202.307617,4237.820313,4012.948730,4137.820313,4071.923096,4165.897461,4156.666504,4158.846191,4006.666748,4195.000000,4046.666748,4331.410156,4025.000000,4199.743652,0.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594355191.496943,58.000000,0.000000,4168.846191,4209.487305,4017.179443,4102.179688,4055.128174,4140.128418,4141.410156,4122.820313,3989.102539,4168.846191,4026.281982,4312.820313,4012.948730,4168.333496,0.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,29.000000,0.000000,8149.000000,8115.000000,8167.000000,4263.000000,8156.000000,7137.000000,8214.000000,8112.000000,7906.000000
1594355191.504724,59.000000,0.000000,4311.153809,4350.897461,4045.641113,4225.128418,4148.461426,4263.974121,4272.307617,4260.512695,4053.333252,4304.743652,4101.794922,4384.615234,4081.666748,4303.077148,0.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594355191.512605,60.000000,0.000000,4190.128418,4224.871582,4022.564209,4116.922852,4067.820557,4133.846191,4129.743652,4136.922852,3999.615479,4160.000000,4048.718018,4313.205078,4015.128174,4185.641113,0.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,30.000000,0.000000,8146.000000,8122.000000,8173.000000,4229.000000,8147.000000,7119.000000,8219.000000,8108.000000,7904.000000
1594355191.520386,61.000000,0.000000,4251.538574,4289.230957,4041.794922,4168.974121,4103.846191,4208.205078,4190.128418,4195.128418,4026.923096,4216.025879,4076.923096,4352.051270,4053.076904,4259.230957,0.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594355191.528266,62.000000,0.000000,4226.153809,4261.410156,4028.846191,4140.769043,4077.564209,4179.230957,4165.641113,4181.025879,4020.256348,4199.615234,4065.897461,4337.563965,4046.666748,4237.436035,0.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,31.000000,0.000000,8140.000000,8129.000000,8166.000000,4219.000000,8142.000000,7119.000000,8219.000000,8111.000000,7905.000000
1594355191.536047,63.000000,0.000000,4182.179688,4220.769043,4027.179443,4107.179688,4052.435791,4128.461426,4126.922852,4122.820313,3993.589844,4129.102539,4055.769287,4313.333496,4020.512939,4180.512695,0.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594355191.543928,64.000000,0.000000,4325.000000,4373.974121,4057.435791,4220.128418,4142.436035,4277.179688,4278.077148,4268.205078,4058.846191,4285.384766,4124.102539,4393.717773,4084.487061,4313.205078,853.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,32.000000,0.000000,8137.000000,8132.000000,8163.000000,4244.000000,8149.000000,7125.000000,8222.000000,8107.000000,7905.000000
1594355191.551709,65.000000,0.000000,4199.615234,4238.974121,4026.666748,4102.307617,4066.923096,4147.692383,4140.000000,4142.948730,4005.769287,4159.871582,4047.692383,4316.153809,4023.076904,4188.717773,3126.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594355191.559589,66.000000,0.000000,4272.436035,4300.512695,4043.076904,4175.256348,4119.487305,4201.538574,4197.563965,4200.512695,4034.487061,4206.538574,4091.410156,4348.846191,4060.128174,4262.436035,3332.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,33.000000,0.000000,8136.000000,8132.000000,8160.000000,4260.000000,8138.000000,7134.000000,8216.000000,8110.000000,7905.000000
1594355191.567370,67.000000,0.000000,4289.487305,4324.102539,4046.153809,4178.846191,4131.153809,4220.256348,4223.333496,4240.000000,4055.897461,4254.743652,4122.307617,4363.974121,4068.846191,4285.000000,3389.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594355191.575251,68.000000,0.000000,4202.948730,4245.384766,4039.615479,4096.282227,4082.179443,4157.307617,4156.538574,4152.820313,4020.128174,4170.256348,4081.666748,4321.794922,4026.153809,4192.820313,2279.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,34.000000,0.000000,8135.000000,8130.000000,8166.000000,4268.000000,8133.000000,7120.000000,8217.000000,8108.000000,7905.000000
1594355191.583031,69.000000,0.000000,4306.666504,4341.922852,4059.230713,4192.307617,4145.256348,4263.205078,4261.794922,4255.769043,4066.025635,4260.897461,4125.897461,4371.666504,4075.769287,4292.692383,3392.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594355191.590912,70.000000,0.000000,4208.333496,4231.410156,4034.615479,4106.410156,4090.256348,4149.871582,4141.538574,4161.282227,4024.743652,4151.153809,4081.923096,4310.384766,4030.769287,4203.333496,3231.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,35.000000,0.000000,8128.000000,8137.000000,8163.000000,4262.000000,8146.000000,7128.000000,8218.000000,8107.000000,7903.000000
1594355191.598693,71.000000,0.000000,4304.615234,4331.538574,4060.897461,4177.179688,4151.410156,4231.282227,4216.666504,4227.692383,4052.948730,4220.256348,4136.282227,4367.051270,4082.051270,4294.358887,3245.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594355191.606674,72.000000,0.000000,4323.846191,4363.077148,4060.256348,4178.077148,4145.769043,4245.769043,4237.820313,4241.666504,4057.435791,4246.410156,4151.153809,4378.974121,4087.307617,4303.717773,1370.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,36.000000,0.000000,8130.000000,8131.000000,8172.000000,4219.000000,8155.000000,7139.000000,8221.000000,8110.000000,7903.000000
1594355191.614654,73.000000,0.000000,4217.179688,4257.436035,4039.487061,4091.666748,4089.615479,4151.410156,4151.538574,4137.436035,4017.051270,4145.128418,4104.358887,4314.487305,4034.230713,4190.769043,3266.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594355191.622535,74.000000,0.000000,4335.000000,4365.128418,4062.820557,4200.512695,4182.307617,4279.487305,4275.897461,4264.871582,4083.333252,4285.000000,4168.589844,4377.307617,4102.179688,4317.307617,1539.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,37.000000,0.000000,8133.000000,8112.000000,8164.000000,4232.000000,8147.000000,7149.000000,8221.000000,8108.000000,7907.000000
1594355191.630516,75.000000,0.000000,4224.358887,4245.128418,4041.410156,4106.538574,4119.487305,4178.077148,4159.230957,4160.769043,4034.871826,4177.563965,4122.948730,4313.333496,4053.846191,4215.128418,3276.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594355191.638397,76.000000,0.000000,4270.000000,4292.563965,4063.974365,4151.794922,4148.461426,4227.948730,4208.974121,4195.897461,4044.871826,4197.051270,4157.948730,4344.743652,4068.589844,4245.256348,1503.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,38.000000,0.000000,8139.000000,8103.000000,8163.000000,4239.000000,8111.000000,7154.000000,8213.000000,8108.000000,7905.000000
1594355191.646378,77.000000,0.000000,4298.077148,4337.436035,4066.025635,4178.846191,4163.205078,4254.615234,4243.461426,4246.538574,4073.333252,4251.025879,4182.051270,4367.563965,4080.384521,4277.948730,1910.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594355191.654259,78.000000,0.000000,4186.153809,4233.974121,4042.692383,4091.923096,4106.025879,4150.897461,4130.512695,4134.871582,4031.025635,4141.922852,4124.743652,4302.051270,4033.205078,4171.922852,1539.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,39.000000,0.000000,8144.000000,8092.000000,8162.000000,4241.000000,8146.000000,7136.000000,8213.000000,8108.000000,7906.000000
1594355191.662240,79.000000,0.000000,4324.615234,4348.974121,4075.512939,4208.077148,4196.025879,4285.384766,4257.820313,4258.717773,4086.794922,4272.436035,4187.563965,4375.897461,4102.436035,4293.461426,3276.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594355191.670121,80.000000,0.000000,4224.743652,4218.846191,4056.794922,4111.794922,4128.077148,4187.179688,4160.769043,4167.436035,4046.794922,4184.358887,4148.077148,4322.436035,4054.487061,4195.897461,1503.000000,2.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,40.000000,0.000000,8149.000000,8093.000000,8164.000000,4255.000000,8155.000000,7137.000000,8217.000000,8111.000000,7906.000000
