title:TN02_L1_NTH_F, start timestamp:1594350832.756003, stop timestamp:1594350894.110394, headset type:EPOCPLUS, headset serial:3B9AE84A, headset firmware:625, subject name:Minh, channels:49, sampling rate:eeg_128;mot_64, samples:7786      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,MOT.CounterMems,MOT.InterpolatedMems,MOT.GyroX,MOT.GyroY,MOT.GyroZ,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1594350832.756003,52.000000,0.000000,4262.307617,4263.589844,4242.692383,4237.820313,4225.897461,4250.897461,4276.410156,4248.205078,4248.205078,4218.461426,3957.179443,4215.000000,4243.333496,4210.000000,0.000000,2.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,26.000000,0.000000,8146.000000,8134.000000,8172.000000,4174.000000,8087.000000,7982.000000,8158.000000,8147.000000,7864.000000
1594350832.763784,53.000000,0.000000,4318.077148,4308.461426,4265.384766,4340.384766,4371.282227,4368.974121,4310.641113,4323.461426,4273.974121,4357.307617,4057.307617,4235.000000,4342.563965,4311.153809,0.000000,2.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594350832.771665,54.000000,0.000000,4093.589844,4068.718018,4223.974121,4183.717773,4261.538574,4222.820313,4063.205078,4111.282227,4217.307617,4249.487305,4030.128174,4186.794922,4161.282227,4164.358887,0.000000,2.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,27.000000,0.000000,8152.000000,8126.000000,8179.000000,4170.000000,8122.000000,7969.000000,8156.000000,8142.000000,7866.000000
1594350832.779446,55.000000,0.000000,4079.871826,4072.435791,4269.102539,4139.230957,4236.666504,4175.384766,4085.256348,4103.589844,4290.384766,4194.743652,4094.102539,4244.487305,4131.922852,4097.820313,0.000000,2.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594350832.787327,56.000000,0.000000,4134.871582,4138.077148,4231.794922,4126.282227,4155.256348,4152.307617,4161.794922,4143.846191,4253.589844,4151.153809,3957.307617,4204.358887,4128.461426,4082.307617,0.000000,2.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,28.000000,0.000000,8159.000000,8119.000000,8184.000000,4150.000000,8134.000000,7951.000000,8159.000000,8143.000000,7863.000000
1594350832.795108,57.000000,0.000000,4315.897461,4308.846191,4220.641113,4293.589844,4244.102539,4309.871582,4319.487305,4302.820313,4232.820313,4276.282227,3978.974365,4186.410156,4281.538574,4294.487305,0.000000,2.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594350832.802989,58.000000,0.000000,4365.769043,4376.666504,4257.051270,4388.205078,4408.974121,4421.282227,4391.025879,4390.769043,4276.666504,4415.641113,4103.461426,4231.410156,4386.153809,4355.897461,0.000000,2.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,29.000000,0.000000,8161.000000,8113.000000,8177.000000,4136.000000,8106.000000,7958.000000,8159.000000,8151.000000,7865.000000
1594350832.810770,59.000000,0.000000,4085.384521,4078.718018,4215.641113,4095.384521,4273.974121,4163.589844,4119.230957,4088.974365,4215.128418,4198.333496,4019.358887,4185.256348,4108.589844,4076.666748,0.000000,2.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594350832.818651,60.000000,0.000000,4074.102539,4054.615479,4262.820313,4047.051270,4197.820313,4103.717773,4082.179443,4032.820557,4266.922852,4126.282227,4088.076904,4235.512695,4052.820557,4096.794922,0.000000,2.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,30.000000,0.000000,8164.000000,8114.000000,8170.000000,4162.000000,8113.000000,7938.000000,8160.000000,8143.000000,7867.000000
1594350832.826432,61.000000,0.000000,4141.025879,4192.563965,4262.436035,4160.641113,4160.641113,4177.436035,4193.205078,4158.077148,4247.307617,4169.871582,4039.230713,4228.846191,4162.948730,4172.179688,0.000000,2.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
