title:TN02_L3_LHND_M, start timestamp:1594359186.191103, stop timestamp:1594359250.744382, headset type:EPOCPLUS, headset serial:3B9AE84A, headset firmware:625, subject name:Minh&Ha, channels:49, sampling rate:eeg_128;mot_64, samples:8191      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,MOT.CounterMems,MOT.InterpolatedMems,MOT.GyroX,MOT.GyroY,MOT.GyroZ,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1594359186.191103,104.000000,0.000000,4231.410156,4213.589844,4164.615234,4182.948730,4188.846191,4193.589844,4190.256348,4195.769043,4191.538574,4204.102539,4162.051270,4150.128418,4200.128418,4173.077148,1620.000000,3.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,52.000000,0.000000,8145.000000,8116.000000,8168.000000,4195.000000,8025.000000,7356.000000,8197.000000,8155.000000,7877.000000
1594359186.198884,105.000000,0.000000,4208.846191,4196.025879,4163.333496,4177.307617,4190.769043,4193.333496,4197.948730,4203.974121,4192.307617,4190.000000,4163.205078,4148.974121,4198.589844,4173.461426,1892.000000,3.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594359186.206765,106.000000,0.000000,4186.153809,4203.205078,4167.051270,4182.307617,4186.153809,4194.615234,4195.641113,4200.000000,4185.000000,4156.922852,4164.743652,4142.051270,4189.743652,4206.153809,2454.000000,3.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,53.000000,0.000000,8154.000000,8118.000000,8161.000000,4199.000000,8001.000000,7354.000000,8200.000000,8151.000000,7876.000000
1594359186.214545,107.000000,0.000000,4239.230957,4247.948730,4174.230957,4204.615234,4194.230957,4208.974121,4203.333496,4199.487305,4186.666504,4178.846191,4169.358887,4142.051270,4192.820313,4238.846191,3504.000000,3.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594359186.222426,108.000000,0.000000,4276.922852,4270.256348,4164.102539,4209.230957,4201.282227,4205.897461,4199.230957,4199.230957,4186.794922,4197.307617,4161.410156,4143.846191,4181.794922,4201.922852,1620.000000,3.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,54.000000,0.000000,8159.000000,8119.000000,8161.000000,4206.000000,7971.000000,7369.000000,8198.000000,8146.000000,7878.000000
1594359186.230207,109.000000,0.000000,4273.461426,4271.538574,4172.820313,4205.256348,4195.512695,4187.948730,4183.333496,4182.692383,4172.436035,4169.102539,4139.102539,4140.000000,4144.871582,4152.948730,1892.000000,3.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594359186.238087,110.000000,0.000000,4276.538574,4294.487305,4169.102539,4222.563965,4193.717773,4193.333496,4188.333496,4175.769043,4168.205078,4157.436035,4130.897461,4129.743652,4121.282227,4172.436035,2454.000000,3.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,55.000000,0.000000,8168.000000,8119.000000,8161.000000,4205.000000,7976.000000,7379.000000,8195.000000,8146.000000,7879.000000
1594359186.245868,111.000000,0.000000,4264.743652,4302.563965,4167.948730,4222.692383,4191.410156,4190.512695,4180.512695,4165.256348,4160.512695,4139.743652,4126.922852,4120.000000,4103.846191,4181.410156,3504.000000,3.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594359186.253748,112.000000,0.000000,4284.743652,4316.666504,4178.333496,4223.205078,4194.871582,4188.974121,4171.025879,4161.538574,4152.051270,4115.128418,4118.333496,4122.436035,4087.564209,4162.179688,1620.000000,3.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,56.000000,0.000000,8174.000000,8128.000000,8163.000000,4200.000000,8030.000000,7360.000000,8200.000000,8149.000000,7875.000000
1594359186.261529,113.000000,0.000000,4309.743652,4330.512695,4170.641113,4226.922852,4196.410156,4186.538574,4164.102539,4155.128418,4141.666504,4107.692383,4109.487305,4125.384766,4063.589844,4145.000000,1892.000000,3.000000,,,,0.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
