title:TN03_L1_NLYL_F, start timestamp:1594282428.794202, stop timestamp:1594282496.549508, headset type:EPOCPLUS, headset serial:3B9AE84A, headset firmware:625, subject name:Minh&Ha, channels:49, sampling rate:eeg_128;mot_64, samples:8599      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,MOT.CounterMems,MOT.InterpolatedMems,MOT.GyroX,MOT.GyroY,MOT.GyroZ,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1594282428.794202,69.000000,0.000000,4455.000000,4604.615234,4203.717773,4177.820313,4136.794922,4125.897461,4154.358887,4146.794922,4115.128418,4146.282227,4195.512695,4264.487305,4159.871582,4298.333496,3509.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594282428.802182,70.000000,0.000000,4452.692383,4592.820313,4196.538574,4175.384766,4136.922852,4140.256348,4139.487305,4152.179688,4123.077148,4152.563965,4195.512695,4269.615234,4160.384766,4290.384766,1479.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,35.000000,0.000000,8160.000000,8112.000000,8158.000000,4173.000000,8011.000000,7799.000000,8172.000000,8171.000000,7864.000000
1594282428.810063,71.000000,0.000000,4445.128418,4594.230957,4199.230957,4177.307617,4141.410156,4140.897461,4151.025879,4152.692383,4126.282227,4153.077148,4188.717773,4264.615234,4162.820313,4294.358887,2806.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594282428.818044,72.000000,0.000000,4440.384766,4600.641113,4200.897461,4180.641113,4141.025879,4134.615234,4150.128418,4148.846191,4118.717773,4143.205078,4180.512695,4253.205078,4158.589844,4292.563965,3558.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,36.000000,0.000000,8154.000000,8111.000000,8154.000000,4174.000000,7979.000000,7823.000000,8167.000000,8169.000000,7866.000000
1594282428.825924,73.000000,0.000000,4436.410156,4596.153809,4188.461426,4187.307617,4137.563965,4139.743652,4134.230957,4150.000000,4119.487305,4144.230957,4184.358887,4251.410156,4152.692383,4285.128418,3617.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594282428.833905,74.000000,0.000000,4433.077148,4604.230957,4203.974121,4190.000000,4139.102539,4138.974121,4149.230957,4148.333496,4127.820313,4150.769043,4194.230957,4255.897461,4154.487305,4294.615234,2184.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,37.000000,0.000000,8157.000000,8113.000000,8156.000000,4158.000000,7998.000000,7805.000000,8164.000000,8168.000000,7867.000000
1594282428.841785,75.000000,0.000000,4425.512695,4597.051270,4192.051270,4187.563965,4150.641113,4136.794922,4136.410156,4146.666504,4135.512695,4157.692383,4198.846191,4251.666504,4158.461426,4277.436035,1452.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594282428.849766,76.000000,0.000000,4406.153809,4606.025879,4186.922852,4189.358887,4154.102539,4145.641113,4146.538574,4149.487305,4135.384766,4157.179688,4193.461426,4247.692383,4155.897461,4276.922852,2734.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,38.000000,0.000000,8156.000000,8111.000000,8154.000000,4173.000000,8000.000000,7808.000000,8165.000000,8172.000000,7869.000000
1594282428.857646,77.000000,0.000000,4381.153809,4608.077148,4190.512695,4192.692383,4153.205078,4156.282227,4152.179688,4153.974121,4134.358887,4154.615234,4187.820313,4245.384766,4151.922852,4275.384766,3415.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594282428.865627,78.000000,0.000000,4359.487305,4594.358887,4170.384766,4185.769043,4159.102539,4158.974121,4141.025879,4154.615234,4134.230957,4157.948730,4195.384766,4237.179688,4147.948730,4259.358887,2184.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,39.000000,0.000000,8159.000000,8119.000000,8153.000000,4177.000000,8013.000000,7792.000000,8168.000000,8173.000000,7866.000000
