title:TN03_L1_TTH_M, start timestamp:1594375957.075493, stop timestamp:1594376018.346551, headset type:EPOCPLUS, headset serial:3B9AE84A, headset firmware:625, subject name:Minh&Ha, channels:49, sampling rate:eeg_128;mot_64, samples:7775      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,MOT.CounterMems,MOT.InterpolatedMems,MOT.GyroX,MOT.GyroY,MOT.GyroZ,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1594375957.075493,102.000000,0.000000,4194.743652,4144.871582,4128.205078,4138.461426,4164.102539,4157.436035,4154.230957,4170.000000,4175.512695,4185.512695,4171.025879,4144.487305,4200.769043,4175.128418,1770.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,51.000000,0.000000,8150.000000,8130.000000,8152.000000,4527.000000,8172.000000,6319.000000,8266.000000,8227.000000,7923.000000
1594375957.083274,103.000000,0.000000,4175.897461,4136.025879,4136.922852,4159.743652,4168.589844,4157.820313,4159.871582,4170.641113,4176.025879,4198.077148,4182.051270,4142.436035,4208.205078,4191.025879,2463.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594375957.091155,104.000000,0.000000,4148.974121,4112.563965,4122.436035,4148.846191,4156.922852,4136.922852,4144.871582,4151.282227,4153.846191,4173.717773,4175.384766,4126.666504,4201.538574,4174.871582,847.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,52.000000,0.000000,8148.000000,8135.000000,8165.000000,4500.000000,8155.000000,6299.000000,8267.000000,8226.000000,7923.000000
1594375957.098936,105.000000,0.000000,4195.641113,4145.128418,4134.871582,4155.641113,4178.077148,4163.461426,4170.256348,4177.692383,4173.589844,4193.205078,4175.641113,4141.410156,4214.871582,4197.307617,1391.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594375957.106817,106.000000,0.000000,4181.282227,4130.769043,4120.256348,4146.922852,4151.025879,4147.307617,4156.922852,4163.333496,4170.641113,4183.461426,4164.487305,4134.871582,4191.794922,4173.077148,1770.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,53.000000,0.000000,8156.000000,8141.000000,8175.000000,4481.000000,8193.000000,6305.000000,8274.000000,8228.000000,7920.000000
1594375957.114598,107.000000,0.000000,4163.461426,4122.563965,4117.307617,4155.000000,4155.128418,4148.205078,4158.333496,4162.563965,4168.717773,4183.974121,4172.307617,4136.410156,4195.256348,4170.769043,2463.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594375957.122479,108.000000,0.000000,4171.538574,4125.769043,4124.743652,4155.256348,4175.769043,4158.589844,4161.282227,4170.256348,4168.461426,4183.333496,4179.743652,4141.410156,4205.512695,4185.897461,847.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,54.000000,0.000000,8152.000000,8144.000000,8176.000000,4492.000000,8174.000000,6308.000000,8271.000000,8229.000000,7925.000000
1594375957.130260,109.000000,0.000000,4167.307617,4122.820313,4117.307617,4144.102539,4166.794922,4150.512695,4148.846191,4155.256348,4161.538574,4165.128418,4170.000000,4130.384766,4189.743652,4172.692383,1391.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594375957.138141,110.000000,0.000000,4190.384766,4152.436035,4134.487305,4157.820313,4175.128418,4166.153809,4164.871582,4173.333496,4178.461426,4191.153809,4171.666504,4139.102539,4204.743652,4191.538574,1770.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,55.000000,0.000000,8148.000000,8138.000000,8153.000000,4494.000000,8181.000000,6304.000000,8271.000000,8225.000000,7924.000000
1594375957.145922,111.000000,0.000000,4176.025879,4138.974121,4125.897461,4147.948730,4147.179688,4149.743652,4148.461426,4165.128418,4169.102539,4183.461426,4168.974121,4136.282227,4201.153809,4179.102539,2463.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
