title:TN03_L2_NTH_F, start timestamp:1594351361.606408, stop timestamp:1594351421.876060, headset type:EPOCPLUS, headset serial:3B9AE84A, headset firmware:625, subject name:Minh&Ha, channels:49, sampling rate:eeg_128;mot_64, samples:7649      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,MOT.CounterMems,MOT.InterpolatedMems,MOT.GyroX,MOT.GyroY,MOT.GyroZ,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1594351361.606408,87.000000,0.000000,4122.307617,4139.230957,4130.256348,4156.282227,4166.794922,4176.794922,4184.230957,4185.256348,4150.897461,4173.589844,4165.512695,4130.512695,4182.820313,4126.153809,4167.000000,2.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594351361.614189,88.000000,0.000000,4067.564209,4091.666748,4109.487305,4113.717773,4137.436035,4148.461426,4140.256348,4145.128418,4131.922852,4139.871582,4151.153809,4106.922852,4150.384766,4086.666748,1310.000000,2.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,44.000000,0.000000,8154.000000,8134.000000,8161.000000,4184.000000,7874.000000,8210.000000,8143.000000,8133.000000,7869.000000
1594351361.622070,89.000000,0.000000,4151.666504,4169.615234,4145.128418,4183.717773,4200.641113,4201.794922,4216.538574,4217.307617,4164.358887,4190.128418,4173.205078,4137.051270,4200.256348,4156.282227,2087.000000,2.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594351361.629851,90.000000,0.000000,4111.282227,4126.282227,4122.307617,4142.307617,4162.179688,4161.666504,4171.922852,4165.512695,4144.358887,4156.282227,4154.743652,4113.589844,4166.538574,4110.384766,3016.000000,2.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,45.000000,0.000000,8156.000000,8125.000000,8170.000000,4178.000000,7909.000000,8212.000000,8142.000000,8130.000000,7870.000000
1594351361.637732,91.000000,0.000000,4116.794922,4143.333496,4129.871582,4152.563965,4167.051270,4172.436035,4182.307617,4167.051270,4146.025879,4160.128418,4160.256348,4122.563965,4177.563965,4126.794922,4167.000000,2.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594351361.645513,92.000000,0.000000,4144.871582,4170.000000,4145.641113,4178.077148,4181.922852,4185.128418,4198.717773,4195.769043,4158.461426,4181.025879,4170.000000,4133.717773,4197.179688,4151.538574,1310.000000,2.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,46.000000,0.000000,8163.000000,8123.000000,8168.000000,4179.000000,7872.000000,8209.000000,8144.000000,8129.000000,7870.000000
1594351361.653394,93.000000,0.000000,4096.538574,4111.794922,4119.487305,4134.743652,4150.384766,4144.230957,4140.000000,4133.205078,4130.641113,4135.128418,4147.948730,4098.974121,4154.615234,4088.076904,2087.000000,2.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594351361.661175,94.000000,0.000000,4161.282227,4183.333496,4146.410156,4195.897461,4202.179688,4195.897461,4204.230957,4194.358887,4160.128418,4186.666504,4172.820313,4138.717773,4204.358887,4159.230957,3016.000000,2.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,47.000000,0.000000,8160.000000,8111.000000,8172.000000,4141.000000,7948.000000,8183.000000,8143.000000,8133.000000,7871.000000
1594351361.669156,95.000000,0.000000,4108.333496,4141.794922,4122.948730,4157.692383,4157.051270,4160.256348,4157.179688,4160.512695,4144.871582,4163.846191,4160.128418,4126.922852,4174.102539,4126.538574,4167.000000,2.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,
1594351361.677037,96.000000,0.000000,4089.615479,4118.077148,4107.307617,4137.563965,4146.282227,4152.307617,4141.153809,4135.128418,4132.307617,4136.153809,4149.487305,4101.922852,4154.102539,4101.025879,1310.000000,2.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,48.000000,0.000000,8165.000000,8108.000000,8174.000000,4158.000000,7927.000000,8174.000000,8139.000000,8132.000000,7870.000000
